iter	Passed	Remaining
0	282	84459
1	387	57763
2	496	49106
3	555	41071
4	669	39513
5	777	38080
6	908	38043
7	1031	37649
8	1170	37838
9	1292	37472
10	1408	37007
11	1537	36895
12	1644	36311
13	1757	35898
14	1885	35816
15	1985	35248
16	2092	34832
17	2210	34624
18	2318	34284
19	2435	34101
20	2552	33912
21	2659	33609
22	2770	33369
23	2883	33162
24	2994	32936
25	3111	32791
26	3220	32560
27	3321	32269
28	3428	32039
29	3536	31824
30	3655	31723
31	3764	31525
32	3874	31352
33	3989	31209
34	4099	31038
35	4213	30900
36	4326	30750
37	4431	30556
38	4542	30401
39	4652	30238
40	4759	30065
41	4866	29894
42	4978	29754
43	5092	29626
44	5208	29515
45	5325	29404
46	5432	29240
47	5545	29115
48	5657	28981
49	5763	28817
50	5872	28669
51	5976	28501
52	6080	28337
53	6203	28261
54	6313	28124
55	6420	27975
56	6534	27856
57	6645	27727
58	6755	27595
59	6880	27520
60	6992	27397
61	7101	27259
62	7212	27132
63	7346	27088
64	7454	26952
65	7554	26784
66	7657	26629
67	7764	26491
68	7864	26328
69	7967	26177
70	8079	26059
71	8196	25956
72	8307	25832
73	8410	25687
74	8513	25540
75	8623	25415
76	8745	25328
77	8850	25190
78	8953	25046
79	9052	24895
80	9154	24752
81	9257	24612
82	9356	24461
83	9461	24328
84	9568	24202
85	9677	24082
86	9781	23948
87	9882	23808
88	9989	23682
89	10097	23559
90	10204	23435
91	10311	23314
92	10428	23212
93	10534	23085
94	10646	22974
95	10763	22872
96	10874	22757
97	10986	22646
98	11091	22519
99	11204	22408
100	11338	22340
101	11456	22238
102	11566	22121
103	11674	22002
104	11786	21888
105	11893	21767
106	12003	21650
107	12118	21544
108	12226	21425
109	12346	21326
110	12456	21210
111	12561	21085
112	12682	20987
113	12794	20875
114	12894	20743
115	13007	20632
116	13118	20518
117	13228	20402
118	13344	20296
119	13457	20186
120	13557	20056
121	13671	19946
122	13789	19843
123	13953	19804
124	14101	19742
125	14206	19618
126	14308	19491
127	14418	19374
128	14523	19252
129	14615	19112
130	14715	18984
131	14821	18863
132	14933	18750
133	15037	18628
134	15139	18503
135	15245	18384
136	15358	18272
137	15465	18155
138	15567	18031
139	15672	17911
140	15782	17796
141	15880	17670
142	15983	17548
143	16082	17422
144	16185	17302
145	16277	17169
146	16381	17049
147	16480	16926
148	16575	16798
149	16674	16674
150	16779	16557
151	16889	16445
152	16987	16321
153	17088	16201
154	17186	16077
155	17286	15957
156	17385	15835
157	17486	15715
158	17585	15595
159	17681	15471
160	17779	15350
161	17878	15229
162	17980	15112
163	18077	14991
164	18175	14870
165	18268	14747
166	18364	14625
167	18463	14507
168	18555	14383
169	18661	14270
170	18760	14152
171	18861	14036
172	18958	13917
173	19060	13802
174	19169	13692
175	19272	13578
176	19375	13464
177	19483	13354
178	19588	13241
179	19687	13125
180	19789	13010
181	19887	12894
182	19989	12779
183	20092	12667
184	20196	12554
185	20294	12438
186	20392	12322
187	20555	12245
188	20697	12155
189	20799	12041
190	20902	11928
191	21006	11815
192	21109	11702
193	21224	11597
194	21332	11486
195	21435	11373
196	21539	11261
197	21639	11147
198	21740	11033
199	21840	10920
200	21942	10807
201	22044	10694
202	22159	10588
203	22261	10475
204	22359	10361
205	22456	10247
206	22555	10133
207	22653	10019
208	22749	9905
209	22842	9789
210	22936	9674
211	23035	9561
212	23131	9448
213	23229	9335
214	23327	9222
215	23424	9109
216	23526	8998
217	23625	8886
218	23727	8775
219	23832	8666
220	23943	8559
221	24043	8447
222	24144	8336
223	24240	8224
224	24335	8111
225	24436	8001
226	24539	7891
227	24633	7779
228	24729	7667
229	24835	7558
230	24932	7447
231	25035	7338
232	25132	7227
233	25234	7117
234	25331	7006
235	25430	6896
236	25528	6786
237	25628	6676
238	25729	6567
239	25827	6456
240	25921	6345
241	26019	6236
242	26117	6126
243	26222	6018
244	26323	5909
245	26418	5799
246	26519	5690
247	26620	5581
248	26725	5473
249	26822	5364
250	26970	5265
251	27141	5169
252	27244	5061
253	27347	4952
254	27455	4845
255	27556	4736
256	27656	4627
257	27762	4519
258	27866	4411
259	27968	4302
260	28068	4194
261	28172	4086
262	28276	3978
263	28375	3869
264	28473	3760
265	28575	3652
266	28676	3544
267	28776	3435
268	28874	3327
269	28972	3219
270	29078	3111
271	29181	3004
272	29279	2895
273	29378	2787
274	29479	2679
275	29577	2571
276	29687	2465
277	29789	2357
278	29892	2249
279	29995	2142
280	30097	2035
281	30195	1927
282	30294	1819
283	30395	1712
284	30493	1604
285	30596	1497
286	30694	1390
287	30794	1283
288	30889	1175
289	30987	1068
290	31090	961
291	31193	854
292	31291	747
293	31397	640
294	31503	533
295	31605	427
296	31709	320
297	31814	213
298	31921	106
299	32025	0
