iter	Passed	Remaining
0	194	38761
1	222	22013
2	249	16403
3	273	13399
4	297	11591
5	321	10397
6	344	9509
7	362	8688
8	381	8090
9	399	7587
10	420	7223
11	437	6853
12	458	6592
13	474	6309
14	498	6153
15	521	6002
16	542	5835
17	561	5677
18	580	5526
19	598	5387
20	616	5250
21	632	5118
22	647	4980
23	663	4862
24	678	4748
25	692	4637
26	708	4539
27	723	4445
28	739	4360
29	755	4279
30	770	4198
31	784	4116
32	798	4040
33	812	3967
34	826	3898
35	840	3830
36	854	3765
37	867	3698
38	880	3635
39	894	3577
40	906	3513
41	920	3461
42	933	3409
43	947	3359
44	960	3309
45	975	3266
46	989	3221
47	1005	3182
48	1018	3137
49	1030	3092
50	1043	3047
51	1055	3005
52	1069	2965
53	1082	2928
54	1097	2894
55	1109	2853
56	1125	2822
57	1141	2793
58	1157	2766
59	1174	2740
60	1190	2712
61	1206	2684
62	1221	2655
63	1234	2624
64	1247	2591
65	1261	2560
66	1274	2529
67	1288	2501
68	1301	2471
69	1316	2444
70	1329	2415
71	1342	2387
72	1356	2359
73	1371	2335
74	1385	2308
75	1397	2280
76	1411	2254
77	1425	2228
78	1439	2204
79	1452	2178
80	1465	2153
81	1479	2129
82	1490	2101
83	1505	2079
84	1522	2060
85	1537	2038
86	1555	2020
87	1570	1998
88	1585	1976
89	1598	1953
90	1612	1931
91	1625	1907
92	1637	1883
93	1649	1860
94	1663	1838
95	1678	1818
96	1693	1798
97	1708	1777
98	1721	1756
99	1735	1735
100	1749	1714
101	1761	1692
102	1776	1672
103	1790	1653
104	1805	1633
105	1820	1614
106	1831	1591
107	1842	1569
108	1854	1548
109	1866	1527
110	1878	1506
111	1890	1485
112	1902	1464
113	1914	1444
114	1928	1425
115	1939	1404
116	1950	1383
117	1963	1364
118	1975	1344
119	1987	1324
120	1999	1305
121	2010	1285
122	2022	1266
123	2035	1247
124	2047	1228
125	2058	1209
126	2071	1190
127	2083	1171
128	2095	1153
129	2107	1135
130	2120	1116
131	2133	1098
132	2145	1080
133	2157	1062
134	2170	1044
135	2182	1027
136	2193	1008
137	2205	991
138	2218	973
139	2229	955
140	2242	938
141	2255	921
142	2267	904
143	2279	886
144	2292	869
145	2303	852
146	2315	834
147	2326	817
148	2340	801
149	2353	784
150	2367	768
151	2381	751
152	2393	735
153	2406	718
154	2418	702
155	2431	685
156	2443	669
157	2454	652
158	2465	635
159	2477	619
160	2490	603
161	2503	587
162	2514	570
163	2526	554
164	2539	538
165	2553	522
166	2566	507
167	2581	491
168	2596	476
169	2614	461
170	2630	446
171	2644	430
172	2658	414
173	2671	399
174	2685	383
175	2699	368
176	2712	352
177	2728	337
178	2742	321
179	2757	306
180	2773	291
181	2789	275
182	2802	260
183	2815	244
184	2827	229
185	2840	213
186	2853	198
187	2866	182
188	2880	167
189	2892	152
190	2905	136
191	2917	121
192	2928	106
193	2942	91
194	2955	75
195	2968	60
196	2980	45
197	2993	30
198	3006	15
199	3018	0
